Y,pred_lm
827.18918,827.1905819
491.0489406,491.0487482
1245.886963,1245.895447
562.8127475,562.8111998
1076.111643,1076.110222
558.9389107,558.9348812
758.0059791,758.0072094
586.6930462,586.6973275
988.0060467,988.013103
1079.179055,1079.17743
1233.710722,1233.708903
491.2944305,491.3023537
876.9370099,876.9396748
752.2206845,752.2202888
649.8431898,649.8355006
697.0824511,697.080636
1196.64897,1196.65575
1178.465638,1178.483941
1241.755588,1241.739547
1075.597696,1075.587653
567.1420251,567.1275837
641.0096111,641.018149
1043.227346,1043.226296
1098.276195,1098.275521
856.8977629,856.8803772
553.3968623,553.3939083
1038.897441,1038.898244
513.8060721,513.819397
988.8252524,988.824263
1106.108255,1106.082227
811.4477586,811.472141
853.7512578,853.73229
957.3912987,957.4115897
481.5767001,481.5903456
532.1294488,532.1363038
975.629022,975.6261891
513.1561844,513.1779273
674.3765513,674.3815725
1044.440514,1044.440063
697.4007589,697.3909905
846.0435284,846.0772532
1165.088726,1165.085176
773.9342639,773.93068
683.2668226,683.2717687
491.0741777,491.0814808
727.9500105,727.9571757
651.3859602,651.3791237
642.3045288,642.2913531
881.0952735,881.1246533
922.4035694,922.3949518
673.4180709,673.4229301
975.1272942,975.136869
841.063221,841.04937
1041.148964,1041.136945
941.0943547,941.0997373
815.1466269,815.136844
773.0742575,773.0690689
677.3975911,677.3935179
953.8383638,953.8572302
465.2609334,465.2613867
738.4913581,738.501436
1122.916575,1122.920929
716.6615844,716.6608683
1114.727606,1114.730726
736.392906,736.3873267
1017.953463,1017.959631
1022.503636,1022.477237
680.6306428,680.6150285
1071.496002,1071.500726
1087.798271,1087.807426
1261.582426,1261.582716
1138.767749,1138.741845
565.7537474,565.7565295
893.4827052,893.5033173
617.7969843,617.8048671
802.5054671,802.5035223
1023.96368,1023.965956
476.2422551,476.2428416
1219.064791,1219.04509
1205.559413,1205.563431
1162.136961,1162.139632
901.6034909,901.6011042
676.4184393,676.4225947
946.3098401,946.3236088
626.107767,626.1152263
1115.250058,1115.272512
1227.916491,1227.941338
779.9757152,779.9724424
1210.676392,1210.692361
577.4125194,577.4062469
888.1335855,888.1530892
734.9280647,734.9211568
1228.038576,1228.025921
559.9092218,559.9088629
812.7862354,812.7902417
1024.809322,1024.809988
595.9257554,595.9266549
739.7605587,739.731355
801.6961245,801.7224955
776.7238242,776.7188749
