Y,pred_knn 
827.18918,824.1216796
491.0489406,491.4909565
1245.886963,1245.347332
562.8127475,562.0014976
1076.111643,1075.921449
558.9389107,560.004703
758.0059791,758.2397912
586.6930462,584.8211127
988.0060467,988.0147095
1079.179055,1078.39868
1233.710722,1233.647314
491.2944305,490.3212912
876.9370099,877.2533102
752.2206845,752.8064262
649.8431898,650.324403
697.0824511,696.3429863
1196.64897,1198.572713
1178.465638,1180.243379
1241.755588,1241.764656
1075.597696,1075.921449
567.1420251,565.2676957
641.0096111,643.1897713
1043.227346,1044.091124
1098.276195,1099.216171
856.8977629,857.5920253
553.3968623,553.6448391
1038.897441,1039.360996
513.8060721,514.8811401
988.8252524,985.500789
1106.108255,1103.679585
811.4477586,809.8108958
853.7512578,854.7729745
957.3912987,960.0320924
481.5767001,482.1808218
532.1294488,533.0839487
975.629022,974.8448751
513.1561844,512.2964079
674.3765513,672.8283197
1044.440514,1044.950189
697.4007589,698.3164167
846.0435284,845.4950655
1165.088726,1166.382778
773.9342639,773.1921445
683.2668226,683.7265658
491.0741777,490.0411121
727.9500105,728.9646638
651.3859602,650.324403
642.3045288,642.0034807
881.0952735,877.9949907
922.4035694,923.29467
673.4180709,672.1672098
975.1272942,976.7926397
841.063221,842.7732004
1041.148964,1040.2122
941.0943547,940.8460756
815.1466269,813.9651176
773.0742575,772.7147037
677.3975911,677.0156267
953.8383638,953.6368184
465.2609334,465.5609945
738.4913581,741.0583791
1122.916575,1121.096665
716.6615844,718.8838973
1114.727606,1115.234752
736.392906,736.7752387
1017.953463,1017.090107
1022.503636,1022.488921
680.6306428,682.1853184
1071.496002,1072.452582
1087.798271,1087.280515
1261.582426,1260.831649
1138.767749,1140.533199
565.7537474,565.2676957
893.4827052,892.8330191
617.7969843,617.8153468
802.5054671,801.7978943
1023.96368,1022.488921
476.2422551,478.8468297
1219.064791,1218.871417
1205.559413,1207.465939
1162.136961,1162.903711
901.6034909,897.8535911
676.4184393,677.0156267
946.3098401,942.644511
626.107767,624.0122622
1115.250058,1115.957712
1227.916491,1226.107237
779.9757152,780.2018178
1210.676392,1210.574139
577.4125194,579.0555794
888.1335855,884.6150788
734.9280647,736.7752387
1228.038576,1226.107237
559.9092218,558.8313703
812.7862354,813.9651176
1024.809322,1023.457185
595.9257554,595.6641742
739.7605587,741.0583791
801.6961245,801.7559048
776.7238242,776.8127659
